assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
Villa Margo Iii Inc,Villa Margo Iii,Miami,Miami-Dade,25.7488,-80.2529,13,1,0,0,13,0,0,12,0,1
Villa Margo Iv Inc,Villa Margo Iv,Miami,Miami-Dade,25.7488,-80.2529,13,2,0,0,13,0,0,13,0,0
"Villa Margo Ii, Inc.",Villa Margo Ii.,Miami,Miami-Dade,25.7488,-80.2529,12,0,0,0,3,0,0,3,0,0
"Villa Margo Vii, Inc.",Villa Margo Vii.,Miami,Miami-Dade,25.7488,-80.2529,8,0,0,0,0,0,0,0,0,0
Villa Margo I Inc,Villa Margo I,Miami,Miami-Dade,25.7488,-80.2529,6,0,0,0,8,0,0,8,0,0
"Villa Margo Vi, Inc",Villa Margo Vi,Miami,Miami-Dade,25.7488,-80.2529,6,0,0,0,4,0,0,3,0,1
Grand Oaks Of Jensen Beach,Grand Oaks Of Jensen Beach,Jensen Beach,Martin,27.2458,-80.2544,66,0,0,0,1,0,0,1,0,0
Amethyst Care Inc,Amethyst Care,Sunrise,Broward,26.1537,-80.2555,6,0,0,0,7,0,0,7,0,0
The Palace At Coral Gables,The Palace At Coral Gables,Coral Gables,Miami-Dade,25.749,-80.2558,85,0,0,0,1,0,0,1,0,0
"Two Sisters Alf,Inc.",Two Sisters ALFInc.,Miami,Miami-Dade,25.7521,-80.256,11,0,0,0,4,0,0,4,0,0
Two Sisters Retirement Home Inc,Two Sisters Retirement Home,Miami,Miami-Dade,25.7521,-80.256,6,0,0,0,2,0,0,2,0,0
"Villa Estrella Alf, Inc",Villa Estrella ALF,Miami,Miami-Dade,25.7715,-80.2564,6,0,0,0,0,0,0,0,0,0
"Nuevo Renacer Alf, Corp",Nuevo Renacer ALF Corp,Opa Locka,Miami-Dade,25.9086,-80.2566,6,0,0,0,1,0,0,1,0,0
"Victoria Retirement Home, Inc.",Victoria Retirement Home.,Miami,Miami-Dade,25.8199,-80.2567,6,0,0,0,0,0,0,0,0,0
Victoria'S Residence Llc,Victoria'S Residence,Miami,Miami-Dade,25.8199,-80.2567,6,0,0,0,0,0,0,0,0,0
Oakmonte Village Of Davie,Oakmonte Village Of Davie,Davie,Broward,26.046,-80.2571,220,1,0,0,13,0,0,12,1,0
La Casita Nuestra Home Ii,La Casita Nuestra Home Ii,Miami,Miami-Dade,25.7648,-80.2575,6,0,1,0,6,0,0,6,0,0
Harborchase Of Coral Springs,Harborchase Of Coral Springs,Coral Springs,Broward,26.2679,-80.2577,120,3,4,0,15,0,0,13,2,0
Paradise Villa Retirement At Sheridan #V,Paradise Villa Retirement At Sheridan #V,Pembroke Pines,Broward,26.157,-80.2582,6,0,4,0,4,0,0,4,0,0
Eagles Eye Comfort Care Miramar Llc,Eagles Eye Comfort Care Miramar,Miramar,Broward,26.011,-80.2588,10,0,2,0,2,0,0,1,1,0
Violeta Home Inc,Violeta Home,Miami,Miami-Dade,25.7497,-80.2599,6,0,0,0,0,0,0,0,0,0
Apple Alf Llc,Apple ALF,Plantation,Broward,26.1087,-80.2601,6,0,0,0,0,0,0,0,0,0
The Watermark At Coral Gables,The Watermark At Coral Gables,Coral Gables,Miami-Dade,25.7294,-80.2612,130,0,0,0,0,0,0,0,0,0
Harborchase Of Stuart,Harborchase Of Stuart,Stuart,Martin,27.2137,-80.2616,176,10,0,0,6,0,0,6,0,0
Reyse Alf Corp.,Reyse ALF Corp.,Miami,Miami-Dade,25.7723,-80.2623,14,0,0,0,2,0,0,1,0,1
The Palms Alf Corp,The Palms ALF Corp,Sunrise,Broward,26.1696,-80.2623,6,0,0,0,2,0,0,2,0,0
The Sheridan At Cooper City,The Sheridan At Cooper City,Cooper City,Broward,26.0343,-80.2637,136,1,0,0,11,0,0,7,4,0
"Sunny Residence, Llc",Sunny Residence,Miramar,Broward,25.9918,-80.2639,7,0,1,0,4,0,0,2,2,0
Jesus Of Nazareth Alf Inc,Jesus Of Nazareth ALF,Miami,Miami-Dade,25.7686,-80.2641,14,2,0,0,6,0,1,5,0,0
"Villa Candita Alf, Inc.",Villa Candita ALF.,Miami,Miami-Dade,25.7686,-80.2641,14,0,0,0,2,0,0,2,0,0
Villa Paz Alf I Inc,Villa Paz ALF I,Miami,Miami-Dade,25.7686,-80.2641,14,0,0,0,2,0,0,2,0,0
Villa Paz Alf Ii Inc,Villa Paz ALF Ii,Miami,Miami-Dade,25.7686,-80.2641,14,0,0,0,0,0,0,0,0,0
Angeles Alf Inc,Angeles ALF,Miami,Miami-Dade,25.7686,-80.2641,12,0,0,0,2,0,0,2,0,0
"A Life Of Love Alf, Inc",A Life Of Love ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,4,0,0,4,0,0
A Piedra Alf Inc,A Piedra ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,4,0,0,4,0,0
Ada Alf Inc,Ada ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,1,0,9,0,0,8,1,0
Aging World Of Westchester Alf Llc,Aging World Of Westchester ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,1,0,0,1,0,0
Alborada Family Home Alf Llc,Alborada Family Home ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,0,0,0,0,0,0
Anais Alf Llc,Anais ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,0,0,0,0,0,0
Bella Alf Llc,Bella ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,3,0,0,3,0,0
Blessed Home Alf Llc,Blessed Home ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,0,0,0,0,0,0
Family First Alf Inc,Family First ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,0,0,17,0,1,15,1,0
Gardens Home Alf Llc,Gardens Home ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,8,0,0,7,1,0
Happy Parents Alf 1 Inc,Happy Parents ALF 1,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,1,0,0,1,0,0
Hernandez & Sons Alf Inc,Hernandez & Sons ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,5,0,0,4,1,0
Las Barea'S Alf Llc,Las Barea'S ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,0,0,0,0,0,0
Lugar De Amor Alf,Lugar De Amor ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,6,0,0,6,0,0
Nicole'S Family Home Alf Llc,Nicole'S Family Home ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,0,0,3,0,0,3,0,0
Nuestro Lugar De Amor Alf Inc,Nuestro Lugar De Amor ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,4,0,0,2,0,2
Paraiso Alf Llc,Paraiso ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,5,0,0,5,0,0
Precious Moments Alf Inc,Precious Moments ALF,Miami,Miami-Dade,25.7686,-80.2641,6,2,0,0,15,0,1,13,0,1
Reflexion Alf Ii,Reflexion ALF Ii,Miami,Miami-Dade,25.7686,-80.2641,6,0,1,0,4,0,0,4,0,0
"Rita Maria Two Alf, Inc",Rita Maria Two ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,0,0,0,0,0,0
Roseland Alf Inc,Roseland ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,13,0,0,12,0,1
"San Judas Alf Group, Inc.",San Judas ALF Group.,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,4,0,0,4,0,0
"Sweet Dreams Alf, Llc",Sweet Dreams ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,11,0,0,11,0,0
Talaya Alf Llc,Talaya ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,13,0,0,12,1,0
"Talia Alf, Inc.",Talia ALF.,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,5,0,0,5,0,0
Tu Hogar Alf Llc,Tu Hogar ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,0,0,2,0,0,1,0,1
"Rosmandy Alf, Inc",Rosmandy ALF,Miami,Miami-Dade,25.7686,-80.2641,5,0,0,0,6,0,0,6,0,0
Wellington Slc Opco Llc,Wellington Slc Opco,Wellington,Palm Beach,26.6503,-80.2658,42,0,0,0,2,0,0,2,0,0
Sagrado Corazon Alf Corp,Sagrado Corazon ALF Corp,Miami,Miami-Dade,25.8313,-80.2666,6,0,0,0,0,0,0,0,0,0
Hetery Home For The Elderly Inc,Hetery Home For The Elderly,Hialeah,Miami-Dade,25.8155,-80.2667,16,1,0,0,5,0,1,4,0,0
Mediterranean Comfort,Mediterranean Comfort,Coral Springs,Broward,26.2823,-80.2668,6,0,0,0,3,0,0,1,1,1
"Residence Of Stuart, Inc (The)",Residence Of Stuart (The),Stuart,Martin,27.215,-80.267,12,0,0,0,10,0,0,8,2,0
Covenant Living Of Florida,Covenant Living Of Florida,Plantation,Broward,26.1217,-80.2687,55,0,1,0,10,0,0,7,3,0
Hialeah Alf Inc,Hialeah ALF,Hialeah,Miami-Dade,25.8744,-80.2696,19,1,0,0,5,0,0,5,0,0
Live Well Home Alf Inc,Live Well Home ALF,Hialeah,Miami-Dade,25.8744,-80.2696,6,0,0,0,4,0,0,4,0,0
"Sunshine Home Alf, Inc.",Sunshine Home ALF.,Hialeah,Miami-Dade,25.8744,-80.2696,6,0,0,0,2,0,0,2,0,0
Vip Alf Corp,Vip ALF Corp,Hialeah,Miami-Dade,25.8744,-80.2696,6,0,0,0,11,0,1,9,0,1
Palmetto Alf Ii Inc,Palmetto ALF Ii,Hialeah,Miami-Dade,25.8169,-80.2722,6,0,0,0,7,0,0,7,0,0
Maylu Retirement Home,Maylu Retirement Home,Miami,Miami-Dade,25.7767,-80.273,14,1,0,0,4,0,0,4,0,0
Charity Care Inc,Charity Care,,Miami-Dade,25.8508,-80.2733,20,0,0,0,9,0,0,9,0,0
Casa Sol Corp,Casa Sol Corp,,Miami-Dade,25.8544,-80.2737,6,0,0,0,1,0,0,1,0,0
Professional Home Care I,Professional Home Care I,Hialeah,Miami-Dade,25.8508,-80.2738,25,0,0,0,22,0,0,21,1,0
Professional Home Care Co,Professional Home Care Co,Hialeah,Miami-Dade,25.8508,-80.2738,15,0,0,0,16,0,0,16,0,0
Water'S Edge Assisted Living,Water'S Edge Assisted Living,Palm City,Martin,27.1878,-80.2746,20,0,1,0,3,0,0,1,1,1
Miami Comfort Cove Inc,Miami Comfort Cove,Miami,Miami-Dade,25.8089,-80.2751,14,1,1,0,14,0,1,12,0,1
Santander Retirement Corp,Santander Retirement Corp,Miami,Miami-Dade,25.7645,-80.2759,6,0,0,0,1,0,0,1,0,0
Kendall Alf Ii Llc,Kendall ALF Ii,Miami,Miami-Dade,25.7728,-80.2776,6,2,0,0,31,0,2,24,1,4
Residence At Paddock Park Ii (The),Residence At Paddock Park Ii (The),Wellington,Palm Beach,26.6733,-80.2781,6,0,0,0,0,0,0,0,0,0
Princess Gardens Alf Inc,Princess Gardens ALF,Miami,Miami-Dade,25.7759,-80.2786,14,0,0,0,0,0,0,0,0,0
Magik Assisted Living Llc,Magik Assisted Living,Hialeah,Miami-Dade,25.9247,-80.2796,38,0,0,0,0,0,0,0,0,0
Coral Springs Country Club For Seniors Inc.,Coral Springs Country Club For Seniors.,,Broward,26.2669,-80.2801,6,0,0,0,2,0,0,2,0,0
Palm Breeze A.L.F.,Palm Breeze A.L.F.,Hialeah,Miami-Dade,25.8315,-80.2813,61,2,0,0,3,0,0,3,0,0
Lourdes Alf Inc,Lourdes ALF,Miami,Miami-Dade,25.6935,-80.2821,6,0,0,0,4,0,0,4,0,0
Fairlawns Alf Llc,Fairlawns ALF,Miami Gardens,Miami-Dade,25.9399,-80.2829,6,0,0,0,0,0,0,0,0,0
Grannys Alf,Grannys ALF,Miami Gardens,Miami-Dade,25.9399,-80.2829,6,0,1,0,0,0,0,0,0,0
Love Of Hope Alf Inc,Love Of Hope ALF,Miami Gardens,Miami-Dade,25.9399,-80.2829,6,0,0,0,18,0,4,12,1,1
Mae Alf,Mae ALF,Miami Gardens,Miami-Dade,25.9399,-80.2829,6,1,1,0,6,0,1,5,0,0
Oasis Home For The Elderly,Oasis Home For The Elderly,Hialeah,Miami-Dade,25.8458,-80.283,19,1,0,0,3,0,0,3,0,0
Browns House Assisted Living Facility Llc,Browns House Assisted Living Facility,Port Saint Lucie,St. Lucie,27.2768,-80.283,5,0,0,0,0,0,0,0,0,0
Amor Y Esperanza Home Care Inc.,Amor Y Esperanza Home Care.,Hialeah,Miami-Dade,25.8489,-80.2831,6,0,0,0,2,0,0,2,0,0
Renacer Alf,Renacer ALF,Hialeah,Miami-Dade,25.8265,-80.2838,22,0,0,0,21,0,1,19,1,0
Salmo 23 Iii Llc,Salmo 23 Iii,Hialeah,Miami-Dade,25.8287,-80.2842,98,2,0,0,4,0,1,2,1,0
Salmo 23 Elder Care,Salmo 23 Elder Care,Hialeah,Miami-Dade,25.8287,-80.2842,24,0,0,0,9,0,0,8,1,0
Sunshine Adult Center Corp.,Sunshine Adult Center Corp.,Hialeah,Miami-Dade,25.8332,-80.285,19,1,0,0,2,0,0,2,0,0
Nates Health Services Llc,Nates Health Services,Port Saint Lucie,St. Lucie,27.2638,-80.2854,6,0,0,0,0,0,0,0,0,0
"Farah Michele A.L.F., Inc",Farah Michele A.L.F.,Hialeah,Miami-Dade,25.8505,-80.2912,6,0,0,0,0,0,0,0,0,0
"Hc Golden Age Alf, Corp",Hc Golden Age ALF Corp,Miami,Miami-Dade,25.7741,-80.2931,6,1,0,0,10,0,0,10,0,0
Palm Gardens Vi,Palm Gardens Vi,Hialeah,Miami-Dade,25.9467,-80.295,6,1,0,0,5,0,0,5,0,0
"A1A Care Center, Inc",A1A Care Center,Hialeah,Miami-Dade,25.8519,-80.2953,6,0,0,0,2,0,0,2,0,0
Cozy Care Residence Pembroke Alf Llc,Cozy Care Residence Pembroke ALF,Pembroke Pines,Broward,26.0168,-80.2959,6,1,1,0,7,0,0,5,2,0
The Gardens Of Port St Lucie,The Gardens Of Port St Lucie,Port Saint Lucie,St. Lucie,27.2875,-80.2991,110,0,2,0,2,0,0,2,0,0
"Santo Tomas Aquino Alf, Inc",Santo Tomas Aquino ALF,Miami,Miami-Dade,25.7338,-80.2993,6,1,0,0,4,0,0,4,0,0
Las Brisas Home Care Inc,Las Brisas Home Care,Hialeah,Miami-Dade,25.877,-80.3002,6,0,0,0,1,0,0,1,0,0
Grand Oaks Of Palm City Llc,Grand Oaks Of Palm City,Palm City,Martin,27.1664,-80.3016,88,0,0,0,0,0,0,0,0,0
Coral Terrace Alf Inc,Coral Terrace ALF,,Miami-Dade,25.7498,-80.3045,44,1,0,0,5,0,0,5,0,0
Villa Nora #2 Inc,Villa Nora #2,Hialeah,Miami-Dade,25.8582,-80.3046,6,0,0,0,0,0,0,0,0,0
Villa Nora Alf Inc,Villa Nora ALF,Hialeah,Miami-Dade,25.8582,-80.3046,6,1,0,0,15,0,1,14,0,0
Yilliam Home Inc,Yilliam Home,Miami,Miami-Dade,25.7708,-80.3054,6,0,0,0,1,0,0,1,0,0
Golden Memories Llc,Golden Memories,Hialeah,Miami-Dade,25.8487,-80.3056,6,0,0,0,18,0,1,17,0,0
Evelyn'S Paradise #1 Llc,Evelyn'S Paradise #1,Miami,Miami-Dade,25.7708,-80.3056,6,0,0,0,1,0,0,1,0,0
Daniella'S Care Center Inc,Daniella'S Care Center,Hialeah,Miami-Dade,25.8674,-80.3059,6,0,0,0,1,0,0,1,0,0
Ani Alf Care Corp.,Ani ALF Care Corp.,Miami,Miami-Dade,25.7632,-80.3105,6,0,0,0,13,0,0,13,0,0
"Hogar De Amor Senior Care, Corp",Hogar De Amor Senior Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,0,0,0,3,0,0,3,0,0
Ildexys Home Health Care Corp,Ildexys Home Health Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,2,0,0,19,0,1,16,0,2
Jnk Home Care Corp,Jnk Home Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,0,0,0,1,0,0,1,0,0
Lidy'S Health Care Corp,Lidy'S Health Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,1,0,0,9,0,1,8,0,0
Ovany'S Home Care Corp,Ovany'S Home Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,1,0,0,3,0,0,3,0,0
Sweet Care Corp,Sweet Care Corp,Miami,Miami-Dade,25.7632,-80.3105,6,0,0,0,6,0,0,6,0,0
Abuelos Alf Inc,Abuelos ALF,Miami,Miami-Dade,25.7655,-80.3106,6,0,0,0,9,0,0,9,0,0
Ebenezer Family Home Inc,Ebenezer Family Home,Hialeah,Miami-Dade,25.8835,-80.3119,6,0,0,0,2,0,0,2,0,0
"Ebenezer Family Home Ii, Inc",Ebenezer Family Home Ii,Miami,Miami-Dade,25.8835,-80.3119,6,1,0,0,3,0,0,3,0,0
Ebenezer Family Home Iii Llc,Ebenezer Family Home Iii,Miami,Miami-Dade,25.8835,-80.3119,6,0,1,0,4,0,0,3,1,0
Paraiso Dos Gardenias Llc,Paraiso Dos Gardenias,Hialeah,Miami-Dade,25.8902,-80.3129,6,0,0,0,18,0,1,17,0,0
Little Havana Hhc,Little Havana Hhc,Miami,Miami-Dade,25.7695,-80.3132,6,0,0,0,12,0,0,11,0,1
"Vida Home, Llc",Vida Home,Hialeah,Miami-Dade,25.8615,-80.3141,6,0,0,0,2,0,0,2,0,0
Helping Hands Adult Care Facility Llc,Helping Hands Adult Care Facility,Loxahatchee,Palm Beach,26.814,-80.3142,5,0,0,0,0,0,0,0,0,0
Mi Nueva Vida Corp,Mi Nueva Vida Corp,Miami,Miami-Dade,25.7485,-80.3145,6,0,0,0,1,0,0,1,0,0
Mirabelle,Mirabelle,Miami,Miami-Dade,25.6873,-80.3151,87,0,0,0,5,0,0,5,0,0
Center For Independent Living (The),Center For Independent Living (The),,St. Lucie,27.3794,-80.3163,6,0,0,0,1,0,0,0,0,1
New Millennium Adult Care Iii,New Millennium Adult Care Iii,Miami,Miami-Dade,25.7323,-80.3167,14,0,0,0,11,0,0,11,0,0
Abuelas Retirement Home Inc,Abuelas Retirement Home,Miami,Miami-Dade,25.7289,-80.3168,6,1,0,0,1,0,0,1,0,0
"Abuelitas Home, Inc",Abuelitas Home,Miami,Miami-Dade,25.7289,-80.3168,6,0,0,0,2,0,0,2,0,0
Paraiso Tropical Home Services Llc,Paraiso Tropical Home Services,Miami,Miami-Dade,25.8721,-80.3169,14,0,0,0,0,0,0,0,0,0
Brito'S Home Corporation,Brito'S Home Corporation,Hialeah,Miami-Dade,25.8562,-80.3184,6,0,0,0,12,0,0,11,1,0
"Our Family Assisted Living Facility Iii, Inc.",Our Family Assisted Living Facility Iii.,Miami,Miami-Dade,25.7577,-80.3184,8,0,0,0,5,0,0,5,0,0
Brito'S Home 3 Llc,Brito'S Home 3,Miami Gardens,Miami-Dade,25.8562,-80.3184,6,0,1,0,5,0,0,5,0,0
Del Rio Home Alf Inc,Del Rio Home ALF,Miami,Miami-Dade,25.9426,-80.3254,9,1,1,0,10,0,1,8,0,1
Ebenezer Palace Corp,Ebenezer Palace Corp,Hialeah,Miami-Dade,25.8715,-80.326,6,0,0,0,0,0,0,0,0,0
"Sunshine Elderly Residences, Corp",Sunshine Elderly Residences Corp,Hialeah,Miami-Dade,25.8715,-80.326,6,1,0,0,24,0,0,22,0,2
Saejca'S Castle Llc,Saejca'S Castle,Miramar,Broward,25.9798,-80.3261,6,0,0,0,4,0,0,3,0,1
Precious Times Inc,Precious Times,Miami,Miami-Dade,25.9334,-80.3267,6,1,0,0,11,0,1,10,0,0
The Angel'S Age Ii,The Angel'S Age Ii,Miami,Miami-Dade,25.7616,-80.3274,6,0,0,0,10,0,0,10,0,0
"Good Life Alf, Inc",Good Life ALF,Hialeah,Miami-Dade,25.9563,-80.3279,6,0,1,0,0,0,0,0,0,0
Rayito De Esperanza Corp,Rayito De Esperanza Corp,Miami,Miami-Dade,25.8091,-80.3288,6,1,2,0,17,0,1,16,0,0
Aurora 25 Alf Corp,Aurora 25 ALF Corp,Miami,Miami-Dade,25.7456,-80.3308,6,0,0,0,10,0,0,10,0,0
Mariluca 1,Mariluca 1,Miami,Miami-Dade,25.7505,-80.3321,6,1,0,0,13,0,0,13,0,0
Peace & Care Alf,Peace & Care ALF,Miami Gardens,Miami-Dade,25.9558,-80.334,6,0,0,0,0,0,0,0,0,0
Vida Holistica Alf Corp,Vida Holistica ALF Corp,Miami,Miami-Dade,25.7171,-80.3357,6,0,0,0,7,0,0,6,0,1
Paradise Home Alf Corp,Paradise Home ALF Corp,Cutler Bay,Miami-Dade,25.5648,-80.3361,6,0,0,0,5,0,0,5,0,0
Vitality Star Resort Alf Llc,Vitality Star Resort ALF,Port Saint Lucie,St. Lucie,27.2083,-80.3361,6,0,0,0,8,0,0,7,1,0
Sun Bay Manor,Sun Bay Manor,Miami,Miami-Dade,25.6324,-80.3364,8,1,1,0,3,0,0,3,0,0
"Angel De Amor, Corp",Angel De Amor Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,1,0,11,0,1,10,0,0
Dios Da El Mana Corp,Dios Da El Mana Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,1,0,3,0,0,3,0,0
Elena Palace Corp,Elena Palace Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,0,0,13,0,0,13,0,0
Eyea Palace Corp,Eyea Palace Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,0,0,4,0,0,4,0,0
Mauri Canteli Corp,Mauri Canteli Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,0,0,16,0,1,15,0,0
Ondymercy Corp,Ondymercy Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,0,0,2,0,0,2,0,0
Mgr Home #2 Inc,Mgr Home #2,Miami,Miami-Dade,25.7978,-80.34,6,1,0,0,9,0,0,9,0,0
"Two Sisters Retirement Home #2, Inc",Two Sisters Retirement Home #2,Miami,Miami-Dade,25.7978,-80.34,6,0,0,0,1,0,0,1,0,0
Mary'S House Alf Llc,Mary'S House ALF,Cutler Bay,Miami-Dade,25.5974,-80.3401,6,0,0,0,0,0,0,0,0,0
San Judas Love & Care,San Judas Love & Care,Miami Lakes,Miami-Dade,25.9062,-80.3414,6,0,0,0,3,0,0,2,1,0
A Touch Of Class #1 Adult Care Llc,A Touch Of Class #1 Adult Care,Port St Lucie,St. Lucie,27.2729,-80.3425,5,0,0,0,2,0,0,2,0,0
Vitality Spring Resort Alf Llc,Vitality Spring Resort ALF,Port Saint Lucie,St. Lucie,27.265,-80.3431,6,0,0,0,0,0,0,0,0,0
"Miami Lakes Senior Care, Inc.",Miami Lakes Senior Care.,Miami Lakes,Miami-Dade,25.9218,-80.3453,6,0,0,0,0,0,0,0,0,0
Maggys Home Care Iii Inc,Maggys Home Care Iii,Miramar,Broward,25.9123,-80.3464,6,0,0,0,0,0,0,0,0,0
Miller Heights Home,Miller Heights Home,Miami,Miami-Dade,25.7168,-80.3469,6,0,0,0,11,0,0,10,1,0
"Avalon Family Resort Assisted Living, Llc",Avalon Family Resort Assisted Living,Port Saint Lucie,St. Lucie,27.2237,-80.3492,6,0,0,0,0,0,0,0,0,0
Rose Assisted Living Facility Llc,Rose Assisted Living Facility,Port Saint Lucie,St. Lucie,27.2702,-80.3514,5,0,0,0,4,0,0,4,0,0
"Sunset Senior Care Of Miami, Inc.",Sunset Senior Care Of Miami.,Miami,Miami-Dade,25.7011,-80.3525,6,0,0,0,7,0,0,7,0,0
Odalys Home,Odalys Home,Miami,Miami-Dade,25.7458,-80.3531,6,0,1,0,5,0,0,5,0,0
"Golden Years Paradise, Inc",Golden Years Paradise,Miami,Miami-Dade,25.7328,-80.3544,6,0,0,0,10,0,0,10,0,0
A Bethel Loving Care Of The Treasure Coast Inc,A Bethel Loving Care Of The Treasure Coast,Port Saint Lucie,St. Lucie,27.2784,-80.3562,6,0,0,0,4,0,0,2,2,0
"Loving Care Of The Treasure Coast, Llc",Loving Care Of The Treasure Coast,Port Saint Lucie,St. Lucie,27.2784,-80.3562,6,0,0,0,7,0,0,6,1,0
Unique Loving Home Care Llc,Unique Loving Home Care,Port Saint Lucie,St. Lucie,27.2942,-80.3563,6,0,0,0,0,0,0,0,0,0
Good Natured Home Care Llc,Good Natured Home Care,Port Saint Lucie,St. Lucie,27.2827,-80.3576,6,0,0,0,4,0,0,4,0,0
Tropical Estates Alf Corp,Tropical Estates ALF Corp,Miami,Miami-Dade,25.7241,-80.3605,6,0,0,0,0,0,0,0,0,0
Merciful Assisted Living,Merciful Assisted Living,Port Saint Lucie,St. Lucie,27.2218,-80.3615,6,0,0,0,0,0,0,0,0,0
"Angel Of Light Assisted Living Facility, Llc",Angel Of Light Assisted Living Facility,Port Saint Lucie,St. Lucie,27.2517,-80.3622,6,0,0,0,3,0,0,3,0,0
Palace At Weston The,Palace At Weston The,Weston,Broward,26.0678,-80.364,208,1,0,0,0,0,0,0,0,0
Los Tres Milagros Corp,Los Tres Milagros Corp,Miami,Miami-Dade,25.6004,-80.3643,6,0,0,0,2,0,0,2,0,0
"Los Tres Milagros Ii, Llc",Los Tres Milagros Ii,Miami,Miami-Dade,25.6004,-80.3643,6,1,0,0,21,0,0,18,1,2
A Kee To Paradise,A Kee To Paradise,Port Saint Lucie,St. Lucie,27.3459,-80.3652,6,0,0,0,0,0,0,0,0,0
Chely'S Care Alf Inc,Chely'S Care ALF,,Miami-Dade,25.6282,-80.3694,6,0,0,0,7,0,0,7,0,0
"Nami Home, Inc.",Nami Home.,Pembroke Pines,Broward,26.0083,-80.3722,6,0,0,0,0,0,0,0,0,0
Abuelo Eusebio Alf Corporation,Abuelo Eusebio ALF Corporation,Homestead,Miami-Dade,25.5543,-80.3736,6,0,0,0,7,0,0,6,0,1
"Golden Street Alf, Corp",Golden Street ALF Corp,Homestead,Miami-Dade,25.5543,-80.3736,6,0,0,0,1,0,0,1,0,0
Orulmila Care Alf Corp,Orulmila Care ALF Corp,Homestead,Miami-Dade,25.5543,-80.3736,6,0,0,0,2,0,0,2,0,0
"Granny'S Garden Home Alf, Llc",Granny'S Garden Home ALF,Miami,Miami-Dade,25.6644,-80.3742,6,0,0,0,5,0,0,5,0,0
Senior Paradise Llc,Senior Paradise,Port Saint Lucie,St. Lucie,27.2369,-80.375,5,0,0,0,1,0,0,1,0,0
"Gabriels' Home Alf, Inc.",Gabriels' Home ALF.,Miami,Miami-Dade,25.7621,-80.3771,8,0,0,0,4,0,1,2,0,1
Palms Of St Lucie West (The),Palms Of St Lucie West (The),Port St Lucie,St. Lucie,27.3237,-80.3772,80,0,0,0,10,0,0,9,1,0
Rosewell Home And Residential Care Llc,Rosewell Home And Residential Care,Port Saint Lucie,St. Lucie,27.2435,-80.3783,5,0,0,0,3,0,0,2,1,0
Jubilee Assisted Living Ii Llc,Jubilee Assisted Living Ii,Weston,Broward,26.1132,-80.3787,8,2,0,0,0,0,0,0,0,0
Jubilee Assisted Living Of Florida Llc,Jubilee Assisted Living Of Florida,Weston,Broward,26.1132,-80.3787,8,0,0,0,6,0,0,4,1,1
Brookdale Vero Beach South,Brookdale Vero Beach South,Vero Beach,Indian River,27.6092,-80.381,40,0,0,0,1,0,0,1,0,0
Cornell Alf Inc,Cornell ALF,,Miami-Dade,25.685,-80.3811,6,0,0,0,1,0,0,1,0,0
"Country Living Assisted Care Center, Inc",Country Living Assisted Care Center,Port Saint Lucie,St. Lucie,27.2902,-80.3823,6,0,0,0,0,0,0,0,0,0
